	MF.alv.Lu#2	MF.alv.Lu#3	MF.alv.Lu.KPd28#1	MF.alv.Lu.KPd28#2	MF.alv.Lu.KPd17#1	MF.alv.Lu.KPd28#3
0610009B22Rik	50	112	79	29	80	45
0610009O20Rik	52	75	58	40	42	44
0610010F05Rik	155	146	214	95	142	114
0610010K14Rik	6	8	0	2	2	4
0610012G03Rik	106	224	135	83	103	98
0610030E20Rik	4	1	5	1	4	7
0610037L13Rik	117	152	139	49	94	68
0610040J01Rik	3	1	1	0	0	1
1110002E22Rik	3	1	2	0	0	4
1110004E09Rik	30	49	40	15	26	16
1110004F10Rik	330	434	389	194	261	173
1110008F13Rik	15	58	57	33	34	36
1110008L16Rik	25	43	43	19	25	17
1110008P14Rik	103	188	165	90	84	83
1110012L19Rik	50	55	52	23	38	46
1110017D15Rik	3	0	1	0	1	2
1110025L11Rik	0	0	0	0	0	0
1110032A03Rik	57	109	77	28	41	36
1110032F04Rik	0	0	0	0	0	0
1110034G24Rik	60	95	77	23	51	34
1110038F14Rik	70	100	64	37	51	37
1110051M20Rik	78	150	153	41	102	56
1110057P08Rik	0	0	0	0	0	0
1110059E24Rik	157	223	210	121	141	122
1110059G10Rik	72	129	134	63	70	55
1110065P20Rik	0	0	1	0	1	1
1190002N15Rik	31	52	54	10	27	30
1190005I06Rik	1	2	4	2	0	0
1190007I07Rik	8	24	13	4	7	14
1300017J02Rik	1	1	0	0	0	0
1500009C09Rik	0	1	1	0	0	0
1500009L16Rik	0	1	0	0	3	1
1500011B03Rik	13	19	20	16	2	9
1500011K16Rik	31	41	38	13	27	20
1500015O10Rik	1	0	1	0	1	4
1520401A03Rik	3	0	1	0	0	3
1600002K03Rik	23	36	22	17	17	10
1600012H06Rik	333	343	371	154	298	148
1600014C10Rik	728	879	1033	594	612	530
1600014C23Rik	0	0	0	0	0	0
1600015I10Rik	1	5	2	1	0	3
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	0	0	3	1	0	1
1700001F09Rik	0	0	0	0	0	0
1700001J03Rik	0	0	1	0	1	0
1700001K19Rik	1	0	2	0	1	3
1700001L19Rik	0	0	0	0	0	0
1700001O22Rik	0	1	0	0	0	0
1700001P01Rik	0	1	0	1	1	3
1700003E16Rik	2	1	0	0	1	1
1700003F12Rik	3	6	6	2	1	6
1700003H04Rik	1	1	2	2	0	6
1700006A11Rik	3	0	6	1	0	3
1700006E09Rik	4	4	6	1	4	0
1700007G11Rik	0	1	0	1	0	0
1700007K09Rik	0	0	0	1	2	2
1700007K13Rik	1	0	1	0	1	0
1700008O03Rik	1	0	0	0	0	0
1700008P02Rik	1	0	0	0	1	1
1700009N14Rik	0	0	0	0	1	0
1700010B08Rik	0	0	0	0	0	0
1700010I14Rik	7	9	6	7	3	7
1700011H14Rik	2	2	2	0	4	2
1700011I03Rik	0	1	1	1	0	0
1700011L22Rik	2	0	2	0	0	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	1	1
1700012B07Rik	0	2	2	0	0	0
1700012B09Rik	0	0	0	0	0	0
1700012P22Rik	0	1	0	2	0	0
1700013D24Rik	0	0	1	0	0	2
1700013F07Rik	0	1	3	0	0	0
1700013G24Rik	0	0	0	0	1	0
1700013H16Rik	0	0	0	0	0	0
1700014D04Rik	0	0	1	1	0	2
1700015F17Rik	0	0	1	0	2	1
1700015G11Rik	0	0	3	0	0	0
1700016C15Rik	3	0	0	0	0	0
1700016D06Rik	0	3	0	0	0	2
1700016G14Rik	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0
1700016K19Rik	0	1	0	0	0	1
1700017B05Rik	282	306	244	182	170	215
1700017D01Rik	6	6	15	3	1	6
1700017N19Rik	0	0	1	0	1	2
1700018B08Rik	0	0	1	0	0	0
1700018F24Rik	0	1	0	0	0	1
1700018G05Rik	0	0	1	0	0	0
1700019A02Rik	0	0	2	0	0	2
1700019D03Rik	0	1	0	0	4	0
1700019N19Rik	0	1	1	0	0	1
1700020A23Rik	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0
1700020L24Rik	2	2	1	1	2	0
1700020N01Rik	2	8	2	3	4	1
1700020N15Rik	0	0	0	0	0	0
1700021F05Rik	60	83	74	28	51	41
1700021F07Rik	0	0	0	0	0	0
1700022I11Rik	3	1	2	0	3	2
1700023F06Rik	0	1	0	1	0	1
1700024B05Rik	0	0	0	0	0	0
