	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
0610009B22Rik	71	72	37	69	81	120	73	81
0610009O20Rik	77	72	52	55	46	85	76	79
0610010F05Rik	202	220	180	143	214	87	284	291
0610010K14Rik	12	11	9	4	5	6	5	13
0610012G03Rik	164	256	141	131	195	279	251	251
0610030E20Rik	1	7	10	3	9	13	3	11
0610037L13Rik	182	259	118	129	168	228	157	196
0610040J01Rik	284	124	111	125	141	317	363	340
1110002E22Rik	5	3	1	0	2	1	3	7
1110004E09Rik	27	32	25	23	17	32	26	28
1110004F10Rik	356	420	242	282	412	450	432	488
1110008F13Rik	53	101	74	23	73	63	65	51
1110008L16Rik	49	25	14	38	54	27	40	36
1110008P14Rik	119	91	73	65	83	157	125	141
1110012L19Rik	113	78	37	50	69	55	59	53
1110017D15Rik	0	0	1	1	0	0	4	5
1110025L11Rik	0	0	0	0	3	3	1	0
1110032A03Rik	93	83	44	59	65	89	95	66
1110032F04Rik	0	0	0	0	0	0	0	0
1110034G24Rik	114	145	126	99	152	174	88	87
1110038F14Rik	118	165	74	118	105	132	93	165
1110051M20Rik	51	70	14	26	53	33	50	39
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	206	223	146	180	206	307	306	208
1110059G10Rik	154	186	156	144	131	159	192	179
1110065P20Rik	3	2	0	0	4	0	1	1
1190002N15Rik	15	21	19	20	34	38	43	32
1190005I06Rik	0	1	0	0	2	0	0	0
1190007I07Rik	7	29	6	4	9	15	10	13
1300017J02Rik	5	11	0	1	1	3	2	1
1500009C09Rik	1	2	0	1	1	0	0	0
1500009L16Rik	7	8	0	0	3	1	0	0
1500011B03Rik	84	70	63	64	76	91	88	86
1500011K16Rik	29	44	36	23	20	21	20	30
1500015O10Rik	0	1	0	2	2	0	2	1
1520401A03Rik	2	0	0	6	1	2	1	3
1600002K03Rik	70	92	40	40	69	93	65	64
1600012H06Rik	502	533	326	350	504	405	478	536
1600014C10Rik	965	837	519	563	700	931	1339	1463
1600014C23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	4	0	0	0	11	3	0	2
1700001C02Rik	1	1	0	0	5	2	0	0
1700001C19Rik	2	2	0	0	2	1	0	0
1700001F09Rik	2	0	0	0	0	0	0	0
1700001J03Rik	1	1	2	0	0	3	0	0
1700001K19Rik	4	5	1	0	1	6	2	2
1700001L19Rik	1	0	0	0	3	0	0	0
1700001O22Rik	1	2	0	0	1	0	1	1
1700001P01Rik	4	2	0	2	4	0	3	6
1700003E16Rik	0	2	0	4	0	0	2	2
1700003F12Rik	2	0	1	1	0	0	1	1
1700003H04Rik	5	5	2	3	2	0	3	4
1700006A11Rik	10	2	1	1	4	0	2	2
1700006E09Rik	5	8	5	3	3	14	5	4
1700007G11Rik	2	2	0	0	2	0	1	0
1700007K09Rik	0	1	0	0	1	0	0	1
1700007K13Rik	0	4	1	0	2	0	0	3
1700008O03Rik	4	0	1	1	5	0	0	3
1700008P02Rik	6	0	0	0	0	0	1	1
1700009N14Rik	1	1	0	0	3	2	0	1
1700010B08Rik	0	1	0	0	0	0	0	0
1700010I14Rik	16	14	11	10	33	11	10	21
1700011H14Rik	0	11	2	3	10	0	8	1
1700011I03Rik	2	0	0	3	3	0	0	1
1700011L22Rik	0	2	1	0	0	0	1	0
1700011M02Rik	0	0	0	0	2	0	0	0
1700012A03Rik	0	0	0	0	2	0	4	0
1700012B07Rik	2	0	1	1	1	0	2	1
1700012B09Rik	0	6	1	3	2	2	0	2
1700012P22Rik	0	0	0	0	2	0	0	0
1700013D24Rik	0	2	0	0	0	2	2	0
1700013F07Rik	0	4	0	1	0	0	4	5
1700013G24Rik	3	0	0	0	0	0	0	0
1700013H16Rik	0	1	0	0	0	0	0	0
1700014D04Rik	1	5	1	0	3	0	1	0
1700015F17Rik	2	2	0	2	2	0	1	3
1700015G11Rik	1	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	3	2	1	1	1
1700016D06Rik	1	3	0	1	3	3	2	0
1700016G14Rik	0	1	0	1	0	0	0	1
1700016H13Rik	3	0	0	0	0	0	1	0
1700016K19Rik	1	2	8	0	0	0	0	0
1700017B05Rik	70	115	96	106	139	153	193	210
1700017D01Rik	5	11	1	5	11	1	7	4
1700017N19Rik	1	1	3	3	2	0	5	5
1700018B08Rik	0	1	0	0	0	0	1	0
1700018F24Rik	1	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700019A02Rik	5	1	0	0	1	0	2	0
1700019D03Rik	4	6	0	1	5	0	0	0
1700019N19Rik	0	1	0	0	5	0	1	0
1700020A23Rik	0	0	0	0	0	0	1	1
1700020D05Rik	2	0	0	0	1	0	1	1
1700020L24Rik	5	6	2	3	1	1	4	0
1700020N01Rik	0	0	2	1	3	2	1	1
1700020N15Rik	0	0	0	0	0	0	0	0
1700021F05Rik	69	139	53	51	85	68	113	68
1700021F07Rik	0	2	0	2	1	0	0	1
1700022I11Rik	0	4	3	4	3	2	3	5
1700023F06Rik	0	3	0	0	1	0	5	0
1700024B05Rik	2	1	0	0	0	1	0	2
1700024G13Rik	0	0	0	1	2	0	1	0
1700024P04Rik	0	2	0	0	0	0	0	0
1700025B11Rik	1	1	1	1	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025F22Rik	5	0	1	0	3	0	6	0
1700025G04Rik	75	84	41	36	52	34	27	40
1700027J19Rik	1	0	0	0	1	0	2	2
1700028J19Rik	9	16	6	0	6	6	4	4
1700028K03Rik	7	2	2	0	4	0	1	0
1700028P14Rik	0	1	1	0	2	0	0	3
1700029F12Rik	3	1	0	0	0	0	0	0
1700029H14Rik	7	5	6	4	5	0	1	4
1700029I15Rik	10	6	11	9	7	4	20	8
1700029J07Rik	11	4	3	3	1	5	4	1
1700029P11Rik	0	0	0	0	2	0	0	0
1700030J22Rik	4	6	4	9	12	8	4	8
1700030K09Rik	53	51	30	30	38	44	32	41
1700031F05Rik	0	0	0	0	0	0	0	0
1700031M16Rik	5	0	0	2	0	0	1	0
1700034E13Rik	1	0	2	0	0	0	2	1
1700034I23Rik	0	1	0	1	2	0	3	4
1700034J05Rik	0	4	1	6	10	1	0	2
1700037C18Rik	111	99	63	71	103	60	148	103
1700037H04Rik	53	94	62	44	78	85	80	72
1700040F15Rik	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700047I17Rik1	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0
1700056E22Rik	2	8	1	2	9	1	1	4
1700057G04Rik	1	1	1	5	1	0	0	1
1700061G19Rik	14	16	17	20	16	12	20	12
1700064H15Rik	2	1	2	0	0	0	1	2
1700066B19Rik	4	1	2	1	2	0	1	0
1700066M21Rik	85	114	68	88	71	73	96	136
1700067K01Rik	18	2	7	0	8	0	1	5
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	1	0	0	0	0	2
1700074P13Rik	0	0	1	0	6	0	1	2
1700080E11Rik	0	0	3	0	3	0	0	0
1700080O16Rik	0	0	0	0	2	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0
1700086D15Rik	0	1	0	5	1	0	0	0
1700088E04Rik	9	7	1	0	8	1	1	4
1700092M07Rik	0	0	0	1	2	0	0	0
1700093K21Rik	1	3	1	2	9	4	1	1
1700102P08Rik	7	7	7	4	9	3	5	8
1700109H08Rik	27	27	25	22	26	16	32	35
1700113H08Rik	0	0	0	1	1	0	0	3
1700122O11Rik	1	0	1	2	0	0	0	0
1700123K08Rik	3	1	0	0	0	0	0	1
1700123L14Rik	0	0	0	3	0	0	0	0
1700123O20Rik	263	255	157	170	215	317	252	302
1700125H20Rik	2	0	0	0	1	0	3	1
1700129C05Rik	0	6	2	1	0	1	1	0
1810009A15Rik	3	4	2	1	2	4	6	4
1810009J06Rik	0	0	0	0	0	0	0	0
1810010D01Rik	0	0	4	0	0	0	3	2
1810010H24Rik	2	3	0	1	10	2	4	1
1810011H11Rik	5	14	27	11	16	126	78	74
