	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
0610009B22Rik	10.0			92.0		27.0	92.0	16.0	78.0	52.0	84.0
0610009O20Rik	4.0			84.0		28.0	109.0	24.0	86.0	38.0	109.0
0610010F05Rik	42.0			255.0		102.0	260.0	95.0	308.0	135.0	238.0
0610010K14Rik	6.0			7.0		2.0	4.0	3.0	10.0	9.0	4.0
0610012G03Rik	38.0			233.0		100.0	220.0	50.0	242.0	73.0	224.0
0610030E20Rik	0.0			5.0		4.0	7.0	2.0	18.0	4.0	6.0
0610037L13Rik	47.0			265.0		96.0	161.0	71.0	161.0	175.0	217.0
0610040J01Rik	27.0			357.0		92.0	173.0	46.0	317.0	41.0	87.0
1110002E22Rik	0.0			3.0		6.0	0.0	0.0	2.0	4.0	7.0
1110004E09Rik	5.0			40.0		12.0	43.0	11.0	55.0	15.0	22.0
1110004F10Rik	112.0			537.0		228.0	371.0	140.0	518.0	304.0	472.0
1110008F13Rik	12.0			221.0		77.0	138.0	17.0	61.0	24.0	44.0
1110008L16Rik	12.0			46.0		19.0	30.0	8.0	50.0	25.0	46.0
1110008P14Rik	31.0			147.0		72.0	131.0	37.0	227.0	62.0	86.0
1110012L19Rik	11.0			80.0		37.0	69.0	27.0	56.0	65.0	59.0
1110017D15Rik	1.0			0.0		4.0	1.0	0.0	0.0	13.0	1.0
1110025L11Rik	0.0			0.0		1.0	0.0	0.0	0.0	0.0	0.0
1110032A03Rik	28.0			126.0		48.0	98.0	32.0	96.0	42.0	103.0
1110032F04Rik	0.0			2.0		0.0	0.0	0.0	0.0	0.0	2.0
1110034G24Rik	32.0			154.0		62.0	150.0	38.0	85.0	98.0	111.0
1110038F14Rik	21.0			144.0		56.0	114.0	34.0	134.0	80.0	143.0
1110051M20Rik	9.0			40.0		19.0	42.0	10.0	91.0	33.0	69.0
1110057P08Rik	0.0			0.0		0.0	0.0	4.0	1.0	0.0	0.0
1110059E24Rik	72.0			278.0		131.0	206.0	60.0	286.0	134.0	297.0
1110059G10Rik	63.0			223.0		124.0	204.0	68.0	219.0	100.0	115.0
1110065P20Rik	0.0			2.0		2.0	5.0	2.0	5.0	5.0	2.0
1190002N15Rik	11.0			58.0		14.0	31.0	12.0	35.0	18.0	28.0
1190005I06Rik	0.0			1.0		1.0	0.0	0.0	0.0	0.0	0.0
1190007I07Rik	4.0			22.0		11.0	19.0	1.0	16.0	27.0	20.0
1300017J02Rik	0.0			8.0		1.0	1.0	2.0	2.0	10.0	14.0
1500009C09Rik	1.0			1.0		1.0	0.0	0.0	0.0	3.0	0.0
1500009L16Rik	3.0			3.0		0.0	0.0	2.0	0.0	5.0	0.0
1500011B03Rik	21.0			90.0		31.0	96.0	30.0	170.0	56.0	47.0
1500011K16Rik	8.0			47.0		20.0	36.0	6.0	31.0	3.0	45.0
1500015O10Rik	1.0			2.0		1.0	2.0	0.0	2.0	0.0	0.0
1520401A03Rik	1.0			3.0		2.0	9.0	1.0	3.0	8.0	0.0
1600002K03Rik	10.0			88.0		42.0	71.0	22.0	32.0	38.0	66.0
1600012H06Rik	133.0			533.0		296.0	523.0	207.0	593.0	431.0	460.0
1600014C10Rik	192.0			1093.0		415.0	957.0	184.0	961.0	143.0	401.0
1600014C23Rik	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
1600015I10Rik	0.0			6.0		3.0	9.0	0.0	2.0	0.0	0.0
1700001C02Rik	0.0			2.0		2.0	1.0	0.0	1.0	2.0	0.0
1700001C19Rik	1.0			0.0		0.0	0.0	0.0	5.0	0.0	1.0
1700001F09Rik	0.0			1.0		1.0	0.0	0.0	0.0	0.0	0.0
1700001J03Rik	1.0			0.0		0.0	0.0	0.0	4.0	1.0	3.0
1700001K19Rik	1.0			8.0		1.0	7.0	1.0	7.0	0.0	1.0
1700001L19Rik	0.0			4.0		1.0	0.0	0.0	0.0	1.0	4.0
1700001O22Rik	0.0			1.0		2.0	0.0	0.0	0.0	0.0	3.0
1700001P01Rik	1.0			2.0		1.0	2.0	2.0	2.0	0.0	3.0
1700003E16Rik	0.0			3.0		1.0	0.0	0.0	2.0	2.0	1.0
1700003F12Rik	0.0			0.0		0.0	1.0	0.0	1.0	0.0	4.0
1700003H04Rik	1.0			3.0		3.0	2.0	1.0	0.0	1.0	7.0
1700006A11Rik	0.0			4.0		4.0	0.0	2.0	2.0	7.0	3.0
1700006E09Rik	0.0			10.0		0.0	9.0	2.0	3.0	7.0	13.0
1700007G11Rik	0.0			2.0		2.0	0.0	3.0	0.0	0.0	2.0
1700007K09Rik	0.0			0.0		1.0	0.0	1.0	1.0	2.0	2.0
1700007K13Rik	0.0			4.0		0.0	0.0	0.0	0.0	0.0	0.0
1700008O03Rik	1.0			0.0		2.0	1.0	0.0	0.0	2.0	1.0
1700008P02Rik	0.0			1.0		0.0	0.0	0.0	0.0	0.0	3.0
1700009N14Rik	0.0			0.0		1.0	2.0	3.0	0.0	0.0	1.0
1700010B08Rik	0.0			0.0		0.0	1.0	0.0	1.0	1.0	0.0
1700010I14Rik	1.0			34.0		8.0	36.0	6.0	15.0	15.0	21.0
1700011H14Rik	3.0			4.0		11.0	0.0	0.0	2.0	10.0	8.0
