	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
0610009B22Rik	92	27	92	16	52	10	78	84	71	72	37	69	81	120	73	81
0610009O20Rik	84	28	109	24	38	4	86	109	77	72	52	55	46	85	76	79
0610010F05Rik	255	102	260	95	135	42	308	238	202	220	180	143	214	87	284	291
0610010K14Rik	7	2	4	3	9	6	10	4	12	11	9	4	5	6	5	13
0610012G03Rik	233	100	220	50	73	38	242	224	164	256	141	131	195	279	251	251
0610030E20Rik	5	4	7	2	4	0	18	6	1	7	10	3	9	13	3	11
0610037L13Rik	265	96	161	71	175	47	161	217	182	259	118	129	168	228	157	196
0610040J01Rik	357	92	173	46	41	27	317	87	284	124	111	125	141	317	363	340
1110002E22Rik	3	6	0	0	4	0	2	7	5	3	1	0	2	1	3	7
1110004E09Rik	40	12	43	11	15	5	55	22	27	32	25	23	17	32	26	28
1110004F10Rik	537	228	371	140	304	112	518	472	356	420	242	282	412	450	432	488
1110008F13Rik	221	77	138	17	24	12	61	44	53	101	74	23	73	63	65	51
1110008L16Rik	46	19	30	8	25	12	50	46	49	25	14	38	54	27	40	36
1110008P14Rik	147	72	131	37	62	31	227	86	119	91	73	65	83	157	125	141
1110012L19Rik	80	37	69	27	65	11	56	59	113	78	37	50	69	55	59	53
1110017D15Rik	0	4	1	0	13	1	0	1	0	0	1	1	0	0	4	5
1110025L11Rik	0	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0
1110032A03Rik	126	48	98	32	42	28	96	103	93	83	44	59	65	89	95	66
1110032F04Rik	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1110034G24Rik	154	62	150	38	98	32	85	111	114	145	126	99	152	174	88	87
1110038F14Rik	144	56	114	34	80	21	134	143	118	165	74	118	105	132	93	165
