	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3
0610009B22Rik	92	27	92	16	52	10	0	78	84
0610009O20Rik	84	28	109	24	38	4	0	86	109
0610010F05Rik	255	102	260	95	135	42	0	308	238
0610010K14Rik	7	2	4	3	9	6	0	10	4
0610012G03Rik	233	100	220	50	73	38	0	242	224
0610030E20Rik	5	4	7	2	4	0	0	18	6
0610037L13Rik	265	96	161	71	175	47	0	161	217
0610040J01Rik	357	92	173	46	41	27	0	317	87
1110002E22Rik	3	6	0	0	4	0	0	2	7
1110004E09Rik	40	12	43	11	15	5	0	55	22
1110004F10Rik	537	228	371	140	304	112	0	518	472
1110008F13Rik	221	77	138	17	24	12	0	61	44
1110008L16Rik	46	19	30	8	25	12	0	50	46
1110008P14Rik	147	72	131	37	62	31	0	227	86
1110012L19Rik	80	37	69	27	65	11	0	56	59
1110017D15Rik	0	4	1	0	13	1	0	0	1
1110025L11Rik	0	1	0	0	0	0	0	0	0
1110032A03Rik	126	48	98	32	42	28	0	96	103
1110032F04Rik	2	0	0	0	0	0	0	0	2
1110034G24Rik	154	62	150	38	98	32	0	85	111
1110038F14Rik	144	56	114	34	80	21	0	134	143
1110051M20Rik	40	19	42	10	33	9	0	91	69
1110057P08Rik	0	0	0	4	0	0	0	1	0
1110059E24Rik	278	131	206	60	134	72	0	286	297
1110059G10Rik	223	124	204	68	100	63	0	219	115
1110065P20Rik	2	2	5	2	5	0	0	5	2
1190002N15Rik	58	14	31	12	18	11	0	35	28
1190005I06Rik	1	1	0	0	0	0	0	0	0
1190007I07Rik	22	11	19	1	27	4	0	16	20
1300017J02Rik	8	1	1	2	10	0	0	2	14
1500009C09Rik	1	1	0	0	3	1	0	0	0
1500009L16Rik	3	0	0	2	5	3	0	0	0
1500011B03Rik	90	31	96	30	56	21	0	170	47
1500011K16Rik	47	20	36	6	3	8	0	31	45
1500015O10Rik	2	1	2	0	0	1	0	2	0
1520401A03Rik	3	2	9	1	8	1	0	3	0
1600002K03Rik	88	42	71	22	38	10	0	32	66
1600012H06Rik	533	296	523	207	431	133	0	593	460
1600014C10Rik	1093	415	957	184	143	192	0	961	401
1600014C23Rik	0	0	0	0	0	0	0	0	0
1600015I10Rik	6	3	9	0	0	0	0	2	0
1700001C02Rik	2	2	1	0	2	0	0	1	0
1700001C19Rik	0	0	0	0	0	1	0	5	1
1700001F09Rik	1	1	0	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	1	1	0	4	3
1700001K19Rik	8	1	7	1	0	1	0	7	1
1700001L19Rik	4	1	0	0	1	0	0	0	4
1700001O22Rik	1	2	0	0	0	0	0	0	3
1700001P01Rik	2	1	2	2	0	1	0	2	3
1700003E16Rik	3	1	0	0	2	0	0	2	1
1700003F12Rik	0	0	1	0	0	0	0	1	4
1700003H04Rik	3	3	2	1	1	1	0	0	7
