	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
0610009B22Rik	116	69	110	74	44	42	71	38	53	43	51	85	38	59	30	57	42
0610009O20Rik	88	89	88	86	82	50	69	76	75	66	42	93	60	66	59	66	55
0610010F05Rik	146	205	213	150	175	70	166	184	188	150	100	228	148	151	94	205	177
0610010K14Rik	19	8	3	7	7	10	8	15	26	15	5	9	3	2	4	8	12
0610012G03Rik	215	105	180	121	88	50	162	70	89	104	119	245	125	132	62	131	91
0610030E20Rik	6	4	3	13	8	18	4	4	5	4	4	13	2	4	6	6	7
0610037L13Rik	392	258	207	197	205	195	313	228	209	242	183	156	80	104	102	156	192
0610040J01Rik	144	75	0	48	58	45	78	76	35	58	37	132	81	57	59	114	99
1110002E22Rik	5	14	4	6	1	0	0	5	17	3	3	0	1	1	0	5	5
1110004E09Rik	46	13	50	15	25	13	13	23	12	33	26	23	29	16	8	20	18
1110004F10Rik	792	390	501	319	345	275	351	257	281	332	237	454	264	290	278	319	289
1110008F13Rik	109	29	19	28	61	59	59	22	20	73	57	47	10	43	27	60	87
1110008L16Rik	38	24	62	17	27	14	35	27	47	31	17	57	33	28	18	38	41
1110008P14Rik	216	77	198	85	88	48	134	57	85	64	46	94	59	43	55	103	64
1110012L19Rik	132	55	89	56	31	27	53	26	32	31	43	57	29	34	32	39	29
1110017D15Rik	3	1	2	3	0	0	3	8	1	3	2	2	2	0	0	3	0
1110025L11Rik	0	0	0	4	3	4	0	0	0	1	1	0	0	0	0	1	1
1110032A03Rik	123	61	130	63	75	42	50	63	65	78	32	88	52	28	50	70	33
1110032F04Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1110034G24Rik	211	105	110	118	113	62	155	102	115	79	64	150	31	19	70	72	91
1110038F14Rik	295	113	117	130	97	89	167	116	88	99	86	153	52	41	64	93	111
1110051M20Rik	44	44	118	65	36	29	46	61	58	45	26	76	42	32	13	58	23
1110057P08Rik	0	5	0	6	2	0	0	0	0	0	1	1	0	0	0	0	1
1110059E24Rik	435	211	265	270	201	162	226	162	185	185	176	245	136	118	186	236	230
1110059G10Rik	283	160	164	239	118	103	143	90	125	116	79	205	81	55	80	141	139
1110065P20Rik	3	0	0	0	2	1	1	4	2	1	3	2	1	0	0	1	1
1190002N15Rik	39	19	49	24	66	36	19	20	27	32	19	58	30	22	29	20	25
1190005I06Rik	0	0	2	0	5	0	0	1	0	0	0	0	0	0	0	1	0
1190007I07Rik	35	25	20	35	11	14	14	23	9	33	13	20	14	10	20	14	16
1300017J02Rik	6	12	3	36	4	0	8	10	6	8	6	2	0	0	13	9	5
1500009C09Rik	2	2	0	7	0	0	0	1	0	0	2	0	1	0	1	2	3
1500009L16Rik	2	0	0	3	0	0	0	0	7	1	0	0	1	0	0	8	10
1500011B03Rik	84	43	23	34	46	30	44	41	39	62	34	99	35	26	34	85	40
1500011K16Rik	51	23	57	6	10	20	26	20	14	35	22	25	23	21	8	12	11
1500015O10Rik	2	1	2	1	2	2	0	0	0	1	0	0	0	0	3	0	0
1520401A03Rik	1	3	1	0	0	1	1	2	1	1	0	4	1	0	4	3	3
1600002K03Rik	65	24	38	22	34	28	44	20	53	30	40	49	25	19	29	41	21
