	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
0610009B22Rik	116	69	110	74	44	42	30	57	42
0610009O20Rik	88	89	88	86	82	50	59	66	55
0610010F05Rik	146	205	213	150	175	70	94	205	177
0610010K14Rik	19	8	3	7	7	10	4	8	12
0610012G03Rik	215	105	180	121	88	50	62	131	91
0610030E20Rik	6	4	3	13	8	18	6	6	7
0610037L13Rik	392	258	207	197	205	195	102	156	192
0610040J01Rik	144	75	0	48	58	45	59	114	99
1110002E22Rik	5	14	4	6	1	0	0	5	5
1110004E09Rik	46	13	50	15	25	13	8	20	18
1110004F10Rik	792	390	501	319	345	275	278	319	289
1110008F13Rik	109	29	19	28	61	59	27	60	87
1110008L16Rik	38	24	62	17	27	14	18	38	41
1110008P14Rik	216	77	198	85	88	48	55	103	64
1110012L19Rik	132	55	89	56	31	27	32	39	29
1110017D15Rik	3	1	2	3	0	0	0	3	0
1110025L11Rik	0	0	0	4	3	4	0	1	1
1110032A03Rik	123	61	130	63	75	42	50	70	33
1110032F04Rik	0	1	0	0	0	0	0	0	2
1110034G24Rik	211	105	110	118	113	62	70	72	91
1110038F14Rik	295	113	117	130	97	89	64	93	111
1110051M20Rik	44	44	118	65	36	29	13	58	23
1110057P08Rik	0	5	0	6	2	0	0	0	1
1110059E24Rik	435	211	265	270	201	162	186	236	230
1110059G10Rik	283	160	164	239	118	103	80	141	139
1110065P20Rik	3	0	0	0	2	1	0	1	1
1190002N15Rik	39	19	49	24	66	36	29	20	25
1190005I06Rik	0	0	2	0	5	0	0	1	0
1190007I07Rik	35	25	20	35	11	14	20	14	16
1300017J02Rik	6	12	3	36	4	0	13	9	5
1500009C09Rik	2	2	0	7	0	0	1	2	3
1500009L16Rik	2	0	0	3	0	0	0	8	10
1500011B03Rik	84	43	23	34	46	30	34	85	40
1500011K16Rik	51	23	57	6	10	20	8	12	11
1500015O10Rik	2	1	2	1	2	2	3	0	0
1520401A03Rik	1	3	1	0	0	1	4	3	3
1600002K03Rik	65	24	38	22	34	28	29	41	21
1600012H06Rik	705	543	447	391	454	261	244	421	415
1600014C10Rik	217	131	1234	102	106	96	163	270	350
1600014C23Rik	0	0	0	0	0	0	0	0	0
1600015I10Rik	2	9	2	16	1	0	4	0	8
1700001C02Rik	1	4	0	5	0	0	0	1	1
1700001C19Rik	2	2	0	1	3	1	1	2	0
1700001F09Rik	1	1	0	3	1	0	0	0	3
1700001J03Rik	5	0	5	2	0	4	0	5	2
1700001K19Rik	9	3	1	0	5	4	9	6	9
1700001L19Rik	0	2	1	4	0	6	0	1	0
1700001O22Rik	0	3	0	1	2	0	5	3	0
1700001P01Rik	2	1	1	6	6	9	2	0	0
1700003E16Rik	3	0	2	1	2	0	2	0	0
1700003F12Rik	1	0	6	0	0	1	0	0	1
1700003H04Rik	3	4	0	0	3	0	7	9	5
1700006A11Rik	2	15	4	16	3	4	9	11	13
1700006E09Rik	4	6	1	5	4	2	3	2	2
1700007G11Rik	2	5	1	1	2	0	0	0	4
1700007K09Rik	0	0	3	0	2	1	1	2	0
1700007K13Rik	0	1	0	0	0	2	1	1	2
1700008O03Rik	4	4	7	3	5	0	3	1	6
1700008P02Rik	2	1	0	4	1	0	0	0	0
1700009N14Rik	0	5	5	0	5	0	3	1	4
1700010B08Rik	0	0	0	1	1	0	1	1	2
1700010I14Rik	7	9	9	11	9	6	3	6	10
1700011H14Rik	7	15	0	17	10	2	8	8	7
1700011I03Rik	62	32	0	34	42	54	17	17	28
1700011L22Rik	1	1	0	4	1	0	0	1	1
1700011M02Rik	0	0	0	0	0	0	0	0	0
1700012A03Rik	2	3	1	4	2	0	1	1	4
1700012B07Rik	2	11	0	3	0	1	2	0	0
1700012B09Rik	2	1	0	3	1	0	6	0	6
1700012P22Rik	2	0	1	0	2	0	1	0	3
1700013D24Rik	0	0	0	1	3	0	0	3	1
1700013F07Rik	1	2	1	1	7	0	2	0	4
