	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3
0610009B22Rik	71	38	53	43	51	85	38	59
0610009O20Rik	69	76	75	66	42	93	60	66
0610010F05Rik	166	184	188	150	100	228	148	151
0610010K14Rik	8	15	26	15	5	9	3	2
0610012G03Rik	162	70	89	104	119	245	125	132
0610030E20Rik	4	4	5	4	4	13	2	4
0610037L13Rik	313	228	209	242	183	156	80	104
0610040J01Rik	78	76	35	58	37	132	81	57
1110002E22Rik	0	5	17	3	3	0	1	1
1110004E09Rik	13	23	12	33	26	23	29	16
1110004F10Rik	351	257	281	332	237	454	264	290
1110008F13Rik	59	22	20	73	57	47	10	43
1110008L16Rik	35	27	47	31	17	57	33	28
1110008P14Rik	134	57	85	64	46	94	59	43
1110012L19Rik	53	26	32	31	43	57	29	34
1110017D15Rik	3	8	1	3	2	2	2	0
1110025L11Rik	0	0	0	1	1	0	0	0
1110032A03Rik	50	63	65	78	32	88	52	28
1110032F04Rik	0	0	0	0	0	0	0	0
1110034G24Rik	155	102	115	79	64	150	31	19
1110038F14Rik	167	116	88	99	86	153	52	41
1110051M20Rik	46	61	58	45	26	76	42	32
1110057P08Rik	0	0	0	0	1	1	0	0
1110059E24Rik	226	162	185	185	176	245	136	118
1110059G10Rik	143	90	125	116	79	205	81	55
1110065P20Rik	1	4	2	1	3	2	1	0
1190002N15Rik	19	20	27	32	19	58	30	22
1190005I06Rik	0	1	0	0	0	0	0	0
1190007I07Rik	14	23	9	33	13	20	14	10
1300017J02Rik	8	10	6	8	6	2	0	0
1500009C09Rik	0	1	0	0	2	0	1	0
1500009L16Rik	0	0	7	1	0	0	1	0
1500011B03Rik	44	41	39	62	34	99	35	26
1500011K16Rik	26	20	14	35	22	25	23	21
1500015O10Rik	0	0	0	1	0	0	0	0
1520401A03Rik	1	2	1	1	0	4	1	0
1600002K03Rik	44	20	53	30	40	49	25	19
1600012H06Rik	377	303	394	325	269	554	190	253
1600014C10Rik	227	103	132	122	143	574	361	394
1600014C23Rik	0	0	0	0	0	0	0	0
1600015I10Rik	1	5	3	0	1	2	1	0
1700001C02Rik	0	0	2	0	1	0	0	0
1700001C19Rik	3	9	2	0	1	2	0	0
1700001F09Rik	0	0	0	2	1	2	0	0
1700001J03Rik	3	0	4	1	0	0	0	1
1700001K19Rik	1	12	2	2	2	0	1	2
1700001L19Rik	2	1	0	0	2	0	0	1
1700001O22Rik	1	0	0	0	1	2	1	0
1700001P01Rik	1	5	3	0	6	2	3	1
1700003E16Rik	0	4	2	3	2	1	0	0
1700003F12Rik	2	3	0	0	2	2	1	0
1700003H04Rik	0	8	0	9	4	3	1	1
1700006A11Rik	5	4	5	6	3	4	0	2
1700006E09Rik	7	5	6	7	2	2	3	2
1700007G11Rik	1	2	2	0	0	0	0	0
1700007K09Rik	0	3	2	0	0	2	1	0
1700007K13Rik	1	3	0	1	1	0	0	0
1700008O03Rik	2	1	0	2	0	0	0	0
1700008P02Rik	1	0	6	2	0	0	0	0
1700009N14Rik	1	0	0	1	11	1	0	2
1700010B08Rik	4	1	0	2	0	0	0	0
1700010I14Rik	2	15	5	7	7	19	5	16
1700011H14Rik	0	6	24	11	6	0	0	5
1700011I03Rik	42	29	40	53	27	0	5	1
1700011L22Rik	4	2	0	0	0	2	1	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	2	1	0	0	0
1700012B07Rik	5	1	1	3	3	1	1	1
1700012B09Rik	0	1	2	4	0	0	1	0
1700012P22Rik	0	3	2	0	1	1	0	0
1700013D24Rik	2	2	2	0	3	0	0	0
1700013F07Rik	0	5	6	2	0	3	0	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	1	2	0	0	0	0	0	0
1700014D04Rik	0	2	1	0	0	0	1	4
1700015F17Rik	0	4	5	2	1	3	0	0
1700015G11Rik	0	0	0	0	0	1	0	0
1700016C15Rik	3	1	4	0	1	2	2	0
1700016D06Rik	1	2	3	3	0	0	5	0
1700016G14Rik	1	0	1	3	1	0	0	0
1700016H13Rik	0	2	0	0	0	1	0	0
1700016K19Rik	0	1	0	0	1	0	0	1
1700017B05Rik	70	98	113	141	111	101	284	306
1700017D01Rik	3	15	3	4	7	1	1	0
1700017N19Rik	0	1	5	4	3	1	0	1
1700018B08Rik	0	2	4	1	0	0	0	0
1700018F24Rik	2	2	3	3	0	0	0	0
1700018G05Rik	0	1	0	0	0	0	0	0
1700019A02Rik	5	0	1	4	1	0	2	2
1700019D03Rik	5	5	5	7	1	3	0	1
1700019N19Rik	0	1	0	4	0	0	0	1
1700020A23Rik	1	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0	0	0
1700020L24Rik	1	1	2	4	7	6	1	1
1700020N01Rik	2	1	3	5	1	2	1	2
1700020N15Rik	0	0	0	0	0	0	0	0
1700021F05Rik	79	83	101	86	44	80	40	53
1700021F07Rik	0	1	0	0	0	0	0	0
1700022I11Rik	6	2	9	1	0	0	3	0
1700023F06Rik	1	1	0	1	1	1	0	0
1700024B05Rik	1	1	0	0	0	0	0	0
1700024G13Rik	1	0	0	0	3	0	1	0
1700024P04Rik	0	4	0	2	0	0	0	0
1700025B11Rik	1	0	0	0	0	0	0	3
1700025C18Rik	0	0	0	2	0	0	0	0
1700025F22Rik	0	9	3	3	1	0	2	1
1700025G04Rik	64	38	53	40	21	66	24	10
1700027J19Rik	0	0	0	3	0	3	0	0
1700028J19Rik	15	1	8	6	1	8	4	2
1700028K03Rik	5	16	11	12	3	6	2	5
1700028P14Rik	0	1	6	1	0	1	0	0
1700029F12Rik	1	2	2	3	1	0	1	0
1700029H14Rik	7	7	3	12	1	8	5	0
1700029I15Rik	8	13	6	11	0	18	2	2
1700029J07Rik	6	3	7	5	7	2	3	0
1700029P11Rik	1	0	0	1	0	0	0	0
1700030J22Rik	0	2	8	5	8	2	0	0
1700030K09Rik	48	50	39	33	36	38	26	27
1700031F05Rik	1	0	3	0	0	0	0	0
1700031M16Rik	5	0	4	2	0	0	0	0
1700034E13Rik	1	0	2	5	1	0	0	0
1700034I23Rik	0	2	6	0	1	4	0	0
1700034J05Rik	7	5	9	1	0	1	1	3
1700037C18Rik	78	46	54	73	35	141	44	27
1700037H04Rik	83	41	56	49	27	58	36	68
1700040F15Rik	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700047I17Rik1	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	2	0	0	0	0	0
